"GBD 2017 sequelae, health states, health state lay descriptions, and disability weights",,,
Sequela,Health state name,Health state lay description,Disability Weight
Severe paragonimiasis due to food-borne trematodiases,"COPD and other chronic respiratory problems, severe","has cough, wheezing and shortness of breath all the time. The person has great difficulty walking even short distances or climbing any stairs, feels tired when at rest, and is anxious.","0.408
(0.273-0.556)"
Moderate paragonimiasis due to food-borne trematodiases,"COPD and other chronic respiratory problems, moderate","has cough, wheezing and shortness of breath, even after light physical activity. The person feels tired and can walk only short distances or climb only a few stairs.","0.225
(0.153-0.310)"
Mild paragonimiasis due to food-borne trematodiases,"COPD and other chronic respiratory problems, mild","has cough and shortness of breath after heavy physical activity, but is able to walk long distances and climb stairs.","0.019
(0.011-0.033)"
Asymptomatic paragonimiasis,--,--,--
Heavy clonorchiasis due to food-borne trematodiases,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Asymptomatic intestinal fluke infection,--,--,--
Asymptomatic opisthorchiasis,--,--,--
Asymptomatic clonorchiasis,--,--,--
Heavy opisthorchiasis due to food-borne trematodiases,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Heavy intestinal fluke infection due to food-borne trematodiases,"Abdominopelvic problem, moderate",has pain in the belly and feels nauseous. The person has difficulties with daily activities. ,"0.114
(0.078-0.159)"
Asymptomatic fascioliasis,--,--,--
Disfigurement level 1 due to leprosy,"Disfigurement, level 1","has a slight, visible physical deformity that others notice, which causes some worry and discomfort.","0.011
(0.005-0.021)"
Disfigurement level 2 due to leprosy,"Disfigurement, level 2","has a visible physical deformity that causes others to stare and comment. As a result, the person is worried and has trouble sleeping and concentrating.","0.067
(0.044-0.096)"
Post-Ebola chronic fatigue syndrome,"Infectious disease, post-acute consequences (fatigue, emotional lability, insomnia)",is always tired and easily upset. The person feels pain all over the body and is depressed.,"0.219
(0.148-0.308)"
Ebola cases,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Acute Zika infection,"Infectious disease, acute episode, moderate ","has a fever and aches, and feels weak, which causes some difficulty with daily activities. ","0.051
(0.032-0.074)"
Guillain–Barré syndrome due to Zika infection,Spinal cord lesion below neck level (treated),"is paralyzed from the waist down, cannot feel or move the legs and has difficulties with urine and bowel control. The person uses a wheelchair to move around.","0.296
(0.198-0.414)"
Congenital Zika syndrome,Severe motor plus cognitive impairment with epilepsy,(combined DW),--
Asymptomatic Zika infection,--,--,--
Moderate pain and limited mobility due to guinea worm,"Musculoskeletal problems, lower limbs, moderate","has moderate pain in the leg, which makes the person limp, and causes some difficulty walking, standing, lifting and carrying heavy things, getting up and down and sleeping.","0.079
(0.054-0.110)"
Moderate pain due to Guinea worm emergence,"Disfigurement, level 2, with itch/pain","has a visible physical deformity that is sore and itchy. Other people stare and comment, which causes the person to worry. The person has trouble sleeping and concentrating.","0.188
(0.125-0.267)"
Moderate reduced mobility due to Guinea worm emergence,"Musculoskeletal problems, lower limbs, moderate","has moderate pain in the leg, which makes the person limp, and causes some difficulty walking, standing, lifting and carrying heavy things, getting up and down and sleeping.","0.079
(0.054-0.110)"
Mild pain due to Guinea worm emergence,"Disfigurement, level 1 with itch/pain","has a slight, visible physical deformity that is sometimes sore or itchy. Others notice the deformity, which causes some worry and discomfort.","0.027
(0.015-0.042)"
Severe anemia due to other neglected tropical diseases,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.","0.149
(0.101-0.209)"
Moderate anemia due to other neglected tropical diseases,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.","0.052
(0.034-0.076)"
Mild anemia due to other neglected tropical diseases,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
Acute infection due to other neglected tropical diseases,"Post-COMO calculation for residuals (YLL/YLD ratio, other methods)",--,--
Complete hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, complete, with ringing","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone, and has very annoying ringing in the ears for more than half of the day. Difficulties with communicating and relating to others often cause worry, depression or loneliness.","0.316
(0.212-0.435)"
Moderate hearing loss due to pneumococcal meningitis,"Hearing loss, moderate","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone.","0.027
(0.015-0.042)"
Mild hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, mild, with ringing","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street), and sometimes has annoying ringing in the ears.","0.021
(0.012-0.036)"
Mild hearing loss due to pneumococcal meningitis,"Hearing loss, mild","has great difficulty hearing and understanding another person talking in a noisy place (for example, on an urban street).","0.010
(0.004-0.019)"
Complete hearing loss due to pneumococcal meningitis,"Hearing loss, complete","cannot hear at all in any situation, including even the loudest sounds, and cannot communicate verbally or use a phone. Difficulties with communicating and relating to others often cause worry, depression or loneliness.","0.215
(0.144-0.307)"
Severe motor plus cognitive impairments due to pneumococcal meningitis,"Motor plus cognitive impairments, severe","cannot move around without help, and cannot lift or hold objects, get dressed or sit upright. The person also has very low intelligence, speaks few words, and needs constant supervision and help with all daily activities.","0.542
(0.374-0.702)"
Moderate motor plus cognitive impairments due to pneumococcal meningitis,"Motor plus cognitive impairments, moderate","has some difficulty in moving around, holding objects, dressing and sitting upright, but can walk without help. The person has low intelligence and is slow in learning to speak and to do simple tasks.","0.203
(0.134-0.290)"
Severe motor impairment due to pneumococcal meningitis,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ","0.402
(0.268-0.545)"
Mild intellectual disability due to pneumococcal meningitis,"Intellectual disability / mental retardation, mild","has low intelligence and is slow in learning at school. As an adult, the person can live independently, but often needs help to raise children and can only work at simple supervised jobs.","0.043
(0.026-0.064)"
Moderate hearing loss with ringing due to pneumococcal meningitis,"Hearing loss, moderate, with ringing","is unable to hear and understand another person talking in a noisy place (for example, on an urban street), and has difficulty hearing another person talking even in a quiet place or on the phone, and has annoying ringing in the ears for more than 5 minutes at a time, almost everyday.","0.074
(0.049-0.107)"
Borderline intellectual disability due to pneumococcal meningitis,Borderline intellectual functioning,"is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.011
(0.005-0.020)"
Mild motor plus cognitive impairments due to pneumococcal meningitis,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.031
(0.018-0.050)"
Mild motor impairment due to long term due to pneumococcal meningitis,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,"0.010
(0.005-0.019)"
Mild behavioral problems due to pneumococcal meningitis,Attention deficit hyperactivity disorder,"is hyperactive and has difficulty concentrating, remembering things, and completing tasks. ","0.045
(0.028-0.066)"
Acute pneumococcal meningitis,"Infectious disease, acute episode, severe","has a high fever and pain, and feels very weak, which causes great difficulty with daily activities.","0.133
(0.088-0.190)"
Moderate motor impairment due to pneumococcal meningitis,"Motor impairment, moderate","has some difficulty in moving around, and difficulty in lifting and holding objects, dressing and sitting upright, but is able to walk without help.","0.061
(0.040-0.089)"
Moderately severe hearing loss due to pneumococcal meningitis,"Hearing loss, moderately severe",(custom DW from hearing loss impairment envelope),--
Epilepsy due to pneumococcal meningitis,Epilepsy,(combined DW),--
Severe vision impairment due to pneumococcal meningitis,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.","0.184
(0.125-0.258)"
Moderate vision impairment due to pneumococcal meningitis,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,"0.031
(0.019-0.049)"
Blindness due to pneumococcal meningitis,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ","0.187
(0.124-0.260)"
